Length,Sentence,Book,Ranking
200,In an age when the study of antiquity attracted the most energetic minds when the ashes of Pompeii were sifted for the playthings of Roman life; when parchments were made to disclose by chemical means the erased thoughts of Grecian thinkers; when the tombs of Egypt were ransacked for their sacred contents and the palaces of Babylon and Nineveh forced to surrender the clay diaries of Nebuchadnezzar; when everything in fact that seemed to contain a vestige of the early life of man was anxiously searched for and carefully preserved in our libraries and museums— language which in itself carries us back far beyond the cuneiform literature of Assyria and Babylonia and the hieroglyphic documents of Egypt; which connects ourselves through an unbroken chain of speech with the very ancestors of our race and still draws its life from the first utterances of the human mind— language the living and speaking witness of the whole history of our race was never cross-examined by the student of history was never made to disclose its secrets until questioned and so to say brought back to itself within the last fifty years by the genius of a Humboldt Bopp Grimm Bunsen and others,1,1
 144,If you consider that whatever view we take of the origin and dispersion of language nothing new has ever been added to the substance of language that all its changes have been changes of form that no new root or radical has ever been invented by later generations as little as one single element has ever been added to the material world in which we live; if you bear in mind that in one sense and in a very just sense we may be said to handle the very words which issued from the mouth of the son of God when he gave names to “all cattle and to the fowl of the air and to every beast of the field” you will see I believe that the science of language has claims on your attention such as few sciences can rival or excel,1,2
 118,Man had studied every part of nature the mineral treasures in the bowels of the earth the flowers of each season the animals of every continent the laws of storms and the movements of the heavenly bodies; he had analyzed every substance dissected every organism he knew every bone and muscle every nerve and fibre of his own body to the ultimate elements which compose his flesh and blood; he had meditated on the nature of his soul on the laws of his mind and tried to penetrate into the last causes of all being— and yet language without the aid of which not even the first step in this glorious career could have been made remained unnoticed,1,3
 116,It has absorbed the thoughts of men who after a long life spent in collecting observing and analyzing have brought to its solution qualifications unrivalled in any previous age; and if we may judge from the greater warmth displayed in discussions ordinarily conducted with the calmness of judges and not with the passion of pleaders it might seem after all as if the great problems of our being of the true nobility of our blood of our descent from heaven or earth though unconnected with anything that is commonly called practical have still retained a charm of their own— a charm that will never lose its power on the mind and on the heart of man,1,4
 93,The dimensions of the science of language are so vast that it is impossible in a course of nine lectures to give more than a very general survey of it; and as one of the greatest charms of this science consists in the minuteness of the analysis by which each language each dialect each word each grammatical form is tested I felt that it was almost impossible to do full justice to my subject or to place the achievements of those who founded and fostered the science of language in their true light,1,5
 90,The astronomer retains these and many other names; he still speaks of the pole of heaven of wandering and fixed stars but he is apt to forget that these terms were not the result of scientific observation and classification but were borrowed from the language of those who themselves were wanderers on the sea or in the desert and to whom the fixed stars were in full reality what their name implies stars driven in and fixed by which they might hold fast on the deep as by heavenly anchors,1,6
 85,If with all these difficulties and drawbacks I do not shrink from opening to-day this course of lectures on mere words on nouns and verbs and particles— if I venture to address an audience accustomed to listen in this place to the wonderful tales of the natural historian the chemist and geologist and wont to see the novel results of inductive reasoning invested by native eloquence with all the charms of poetry and romance— it is because though mistrusting myself I cannot mistrust my subject,1,7
 85,If therefore the science of language gives us an insight into that which by common consent distinguishes man from all other living beings; if it establishes a frontier between man and the brute which can never be removed it would seem to possess at the present moment peculiar claims on the attention of all who while watching with sincere admiration the progress of comparative physiology yet consider it their duty to enter their manly protest against a revival of the shallow theories of Lord Monboddo,1,8
 82,I felt convinced that the researches into the history of languages and into the nature of human speech which have been carried on for the last fifty years in England France and Germany deserved a larger share of public sympathy than they had hitherto received; and it seemed to me as far as I could judge that the discoveries in this newly-opened mine of scientific inquiry were not inferior whether in novelty or importance to the most brilliant discoveries of our age,1,9
 79,Now although it may seem as if in the present high state of our society students were enabled to devote their time to the investigation of the facts and laws of nature or to the contemplation of the mysteries of the world of thought without any side-glance at the practical result of their labors no science and no art have long prospered and flourished among us unless they were in some way subservient to the practical interests of society,1,10
